implementation,run_id,time_ms
FP-A,5,194.205702
FP-B,2,197.103928
FX64,1,27.441754
FX64,0,26.027832
FP-B,0,193.837396
FP-A,6,194.451612
FX64,7,24.918720
FP-A,1,193.898260
FX64,2,27.185228
FP-A,9,193.905665
FP-A,7,195.583643
FP-A,3,194.788229
FX64,8,25.189035
FP-A,4,195.027491
FP-B,3,195.896431
FP-B,6,194.249877
FX64,9,25.881435
FP-B,5,201.955268
FP-B,4,195.877000
FX64,4,25.082566
FX64,5,26.717500
FP-B,7,195.558943
FP-A,2,194.107441
FP-B,8,194.045275
FP-A,0,195.072371
FP-B,1,193.846585
FX64,3,25.800925
FP-B,9,194.193031
FP-A,8,196.310749
FX64,6,25.408383
